,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006
694,210051672665,2021,3,M,1,2,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,503.6,590.9,548.0,451.3,0,1.0,520.0,E,F,C,D,5.0,J
695,210053936935,2021,3,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3556453,Vargem Grande Paulista,35,SP,1,1,1,1,481.0,478.0,495.3,451.6,0,1.0,600.0,E,F,C,B,3.0,I
696,210053497359,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,568.2,576.2,578.5,608.4,0,1.0,840.0,F,E,D,D,4.0,G
697,210052242949,2021,4,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,567.2,626.1,567.1,628.2,0,1.0,620.0,F,C,E,F,4.0,P
698,210051016230,2021,3,F,1,4,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,621.3,591.1,594.4,690.8,0,1.0,840.0,F,G,D,D,3.0,I
699,210053512844,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,642.5,598.0,527.2,605.2,0,1.0,780.0,F,G,D,E,5.0,P
700,210053916930,2021,3,M,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,0,0,0,0,,,,,0,,,F,E,F,D,4.0,H
701,210051759570,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,0,0,0,0,,,,,1,,,E,D,C,D,2.0,E
702,210053939118,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,441.0,406.9,474.9,457.5,1,3.0,0.0,E,F,D,B,4.0,G
703,210053966725,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,459.4,593.2,523.3,544.4,0,1.0,560.0,D,C,C,B,4.0,D
704,210052669990,2021,3,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,475.6,553.4,453.8,578.4,0,1.0,600.0,E,E,C,B,4.0,D
705,210051872240,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3556453,Vargem Grande Paulista,35,SP,1,1,1,1,374.4,551.3,379.4,487.8,0,1.0,580.0,E,E,C,D,4.0,E
706,210051245520,2021,3,F,1,2,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,459.4,513.7,485.9,427.8,1,1.0,620.0,D,E,B,E,3.0,E
